second,Volt
+6.6000E-06,-141E-03
+6.7000E-06,-204E-03
+6.8000E-06,-3.923E+00
+6.9000E-06,-438E-03
+7.0000E-06,-657E-03
+7.1000E-06,-2.157E+00
+7.2000E-06,-329E-03
+7.3000E-06,-3.829E+00
+7.4000E-06,-688E-03
+7.5000E-06,-3.282E+00
+7.6000E-06,-282E-03
+7.7000E-06,-2.110E+00
+7.8000E-06,-1.173E+00
+7.9000E-06,-2.798E+00
+8.0000E-06,-438E-03
+8.1000E-06,-2.766E+00
+8.2000E-06,-298E-03
+8.3000E-06,-3.282E+00
+8.4000E-06,-688E-03
+8.5000E-06,-3.251E+00
+8.6000E-06,-470E-03
+8.7000E-06,-3.563E+00
+8.8000E-06,-470E-03
+8.9000E-06,-3.673E+00
+9.0000E-06,-1.985E+00
+9.1000E-06,-3.891E+00
+9.2000E-06,-501E-03
+9.3000E-06,-3.423E+00
+9.4000E-06,-2.001E+00
+9.5000E-06,-3.548E+00
+9.6000E-06,-1.345E+00
+9.7000E-06,-1.048E+00
+9.8000E-06,-141E-03
+9.9000E-06,-3.188E+00
+10.0000E-06,-1.485E+00
+10.1000E-06,-2.829E+00
+10.2000E-06,-3.907E+00
+10.3000E-06,-2.188E+00
+10.4000E-06,-3.766E+00
+10.5000E-06,-1.813E+00
+10.6000E-06,-2.813E+00
+10.7000E-06,-1.485E+00
+10.8000E-06,-2.626E+00
+10.9000E-06,-298E-03
+11.0000E-06,-2.079E+00
+11.1000E-06,-2.516E+00
+11.2000E-06,-1.516E+00
+11.3000E-06,-907E-03
+11.4000E-06,-2.626E+00
+11.5000E-06,-407E-03
+11.6000E-06,-3.548E+00
+11.7000E-06,-1.454E+00
+11.8000E-06,-3.360E+00
+11.9000E-06,-485E-03
+12.0000E-06,-2.923E+00
+12.1000E-06,-641E-03
+12.2000E-06,-2.016E+00
+12.3000E-06,-860E-03
+12.4000E-06,-3.626E+00
+12.5000E-06,-923E-03
+12.6000E-06,-2.891E+00
+12.7000E-06,-1.032E+00
+12.8000E-06,-3.766E+00
+12.9000E-06,-141E-03
+13.0000E-06,-2.766E+00
+13.1000E-06,-610E-03
+13.2000E-06,-923E-03
+13.3000E-06,-2.266E+00
+13.4000E-06,-391E-03
+13.5000E-06,-1.891E+00
+13.6000E-06,-2.141E+00
+13.7000E-06,-1.813E+00
+13.8000E-06,-1.032E+00
+13.9000E-06,-2.470E+00
+14.0000E-06,-1.141E+00
+14.1000E-06,-3.126E+00
+14.2000E-06,-485E-03
+14.3000E-06,-3.438E+00
+14.4000E-06,-1.954E+00
+14.5000E-06,-2.360E+00
+14.6000E-06,-673E-03
+14.7000E-06,-3.298E+00
